,position,img,count,mean,frame,mask,nuclei_count,Hours,total_int/cell#,count/cell_count,dose,beads,replicate
128,XY010,expt1003_TRITC_XY010_T12.tif,499178,6939.753903417218,12,expt1003_Cy5_XY010_T12_cp_masks.tif,133,5.5,26046409.57894737,3753.218045112782,0,True,2
129,XY010,expt1003_TRITC_XY010_T13.tif,524345,7352.792440091925,13,expt1003_Cy5_XY010_T13_cp_masks.tif,129,6.0,29886821.33333333,4064.68992248062,0,True,2
130,XY011,expt1003_TRITC_XY011_T01.tif,1,1439.0,1,expt1003_Cy5_XY011_T01_cp_masks.tif,142,0.0,10.133802816901408,0.0070422535211267,0,True,2
131,XY011,expt1003_TRITC_XY011_T02.tif,60538,3052.0476890548084,2,expt1003_Cy5_XY011_T02_cp_masks.tif,146,0.5,1265512.7602739723,414.6438356164384,0,True,2
132,XY011,expt1003_TRITC_XY011_T03.tif,127876,3819.739223935688,3,expt1003_Cy5_XY011_T03_cp_masks.tif,145,1.0,3368641.1931034485,881.903448275862,0,True,2
133,XY011,expt1003_TRITC_XY011_T04.tif,180617,4417.377627798048,4,expt1003_Cy5_XY011_T04_cp_masks.tif,142,1.5,5618686.584507043,1271.9507042253522,0,True,2
134,XY011,expt1003_TRITC_XY011_T05.tif,221524,4880.390359509579,5,expt1003_Cy5_XY011_T05_cp_masks.tif,141,2.0,7667543.219858156,1571.0921985815603,0,True,2
135,XY011,expt1003_TRITC_XY011_T06.tif,257555,5356.359783347246,6,expt1003_Cy5_XY011_T06_cp_masks.tif,138,2.5,9996791.623188406,1866.340579710145,0,True,2
136,XY011,expt1003_TRITC_XY011_T07.tif,290511,5724.878620775117,7,expt1003_Cy5_XY011_T07_cp_masks.tif,138,3.0,12051740.673913045,2105.1521739130435,0,True,2
137,XY011,expt1003_TRITC_XY011_T08.tif,315863,6094.221567578349,8,expt1003_Cy5_XY011_T08_cp_masks.tif,142,3.5,13555909.204225352,2224.387323943662,0,True,2
138,XY011,expt1003_TRITC_XY011_T09.tif,343420,6341.867459670374,9,expt1003_Cy5_XY011_T09_cp_masks.tif,141,4.0,15446270.375886524,2435.6028368794327,0,True,2
139,XY011,expt1003_TRITC_XY011_T10.tif,374326,6647.247506184449,10,expt1003_Cy5_XY011_T10_cp_masks.tif,137,4.5,18162318.02919708,2732.306569343066,0,True,2
140,XY011,expt1003_TRITC_XY011_T11.tif,403944,6885.382518368883,11,expt1003_Cy5_XY011_T11_cp_masks.tif,129,5.0,21560534.54263566,3131.3488372093025,0,True,2
141,XY011,expt1003_TRITC_XY011_T12.tif,432547,7225.921999227829,12,expt1003_Cy5_XY011_T12_cp_masks.tif,142,5.5,22010921.711267605,3046.105633802817,0,True,2
142,XY011,expt1003_TRITC_XY011_T13.tif,458751,7468.069597668452,13,expt1003_Cy5_XY011_T13_cp_masks.tif,129,6.0,26558018.57364341,3556.2093023255816,0,True,2
143,XY012,expt1003_TRITC_XY012_T01.tif,109,1840.697247706422,1,expt1003_Cy5_XY012_T01_cp_masks.tif,234,0.0,857.4188034188035,0.4658119658119658,0,True,2
144,XY012,expt1003_TRITC_XY012_T02.tif,51054,2730.753731343284,2,expt1003_Cy5_XY012_T02_cp_masks.tif,228,0.5,611473.25,223.92105263157896,0,True,2
145,XY012,expt1003_TRITC_XY012_T03.tif,165038,3351.4408560452744,3,expt1003_Cy5_XY012_T03_cp_masks.tif,223,1.0,2480336.753363229,740.0807174887892,0,True,2
146,XY012,expt1003_TRITC_XY012_T04.tif,238983,3828.604369348448,4,expt1003_Cy5_XY012_T04_cp_masks.tif,215,1.5,4255680.734883721,1111.5488372093023,0,True,2
147,XY012,expt1003_TRITC_XY012_T05.tif,295731,4142.415982768123,5,expt1003_Cy5_XY012_T05_cp_masks.tif,210,2.0,5833527.719047618,1408.2428571428572,0,True,2
